Time [us] - histogram	Counts - histogram
2.725	0
2.735	4
2.745	3
2.755	3
2.765	2
2.775	3
2.785	3
2.795	4
2.805	4
2.815	3
2.825	2
2.835	0
2.845	5
2.855	5
2.865	3
2.875	2
2.885	1
2.895	10
2.905	1
2.915	3
2.925	2
2.935	4
2.945	3
2.955	2
2.965	1
2.975	2
2.985	1
2.995	0
3.005	3
3.015	2
3.025	3
3.035	4
3.045	2
3.055	2
3.065	0
3.075	0
3.085	3
3.095	2
3.105	5
3.115	2
3.125	4
3.135	1
3.145	1
3.155	0
3.165	1
3.175	3
3.185	3
3.195	1
3.205	2
3.215	2
3.225	2
3.235	0
3.245	0
3.255	4
3.265	2
3.275	6
3.285	3
3.295	1
3.305	1
3.315	2
3.325	2
3.335	1
3.345	1
3.355	4
3.365	2
3.375	1
3.385	2
3.395	4
3.405	6
3.415	1
3.425	2
3.435	3
3.445	2
3.455	2
3.465	1
3.475	0
3.485	3
3.495	0
3.505	2
3.515	3
3.525	2
3.535	2
3.545	1
3.555	1
3.565	3
3.575	2
3.585	0
3.595	0
3.605	1
3.615	1
3.625	1
3.635	1
3.645	0
3.655	0
3.665	3
3.675	1
3.685	4
3.695	1
3.705	1
3.715	0
3.725	4
3.735	0
3.745	2
3.755	2
3.765	4
3.775	3
3.785	5
3.795	1
3.805	1
3.815	2
3.825	2
3.835	0
3.845	2
3.855	4
3.865	3
3.875	2
3.885	2
3.895	2
3.905	0
3.915	0
3.925	0
3.935	2
3.945	4
3.955	0
3.965	2
3.975	1
3.985	1
3.995	0
4.005	1
4.015	0
4.025	2
4.035	0
4.045	4
4.055	0
4.065	1
4.075	0
4.085	0
4.095	3
4.105	2
4.115	1
4.125	1
4.135	1
4.145	1
4.155	0
4.165	3
4.175	0
4.185	0
4.195	1
4.205	2
4.215	3
4.225	0
4.235	1
4.245	4
4.255	1
4.265	2
4.275	1
4.285	0
4.295	3
4.305	0
4.315	0
4.325	1
4.335	0
4.345	2
4.355	2
4.365	0
4.375	2
4.385	4
4.395	0
4.405	2
4.415	1
4.425	1
4.435	1
4.445	0
4.455	2
4.465	1
4.475	2
4.485	3
4.495	2
4.505	1
4.515	1
4.525	4
4.535	2
4.545	2
4.555	0
4.565	0
4.575	0
4.585	0
4.595	1
4.605	0
4.615	0
4.625	1
4.635	2
4.645	0
4.655	1
4.665	0
4.675	0
4.685	1
4.695	0
4.705	1
4.715	1
4.725	0
4.735	1
4.745	2
4.755	1
4.765	1
4.775	1
4.785	1
4.795	1
4.805	1
4.815	1
4.825	0
4.835	1
4.845	1
4.855	0
4.865	2
4.875	0
4.885	0
4.895	0
4.905	0
4.915	1
4.925	2
4.935	0
4.945	0
4.955	1
4.965	0
4.975	4
4.985	1
4.995	0
5.005	1
5.015	0
5.025	0
5.035	1
5.045	1
5.055	0
5.065	0
5.075	2
5.085	2
5.095	1
5.105	3
5.115	2
5.125	3
5.135	0
5.145	1
5.155	0
5.165	0
5.175	0
5.185	0
5.195	1
5.205	0
5.215	1
5.225	0
5.235	2
5.245	1
5.255	1
5.265	2
5.275	0
5.285	0
5.295	1
5.305	1
5.315	2
5.325	0
5.335	1
5.345	1
5.355	1
5.365	0
5.375	1
5.385	2
5.395	0
5.405	1
5.415	2
5.425	1
5.435	0
5.445	1
5.455	0
5.465	0
5.475	1
5.485	0
5.495	1
5.505	1
5.515	2
5.525	0
5.535	1
5.545	1
5.555	0
5.565	0
5.575	1
5.585	0
5.595	1
5.605	0
5.615	0
5.625	1
5.635	0
5.645	1
5.655	1
5.665	0
5.675	2
5.685	1
5.695	1
5.705	1
5.715	0
5.725	2
5.735	1
5.745	0
5.755	1
5.765	0
5.775	0
5.785	1
5.795	1
5.805	2
5.815	2
5.825	0
5.835	0
5.845	2
5.855	3
5.865	0
5.875	1
5.885	2
5.895	1
5.905	0
5.915	0
5.925	0
5.935	1
5.945	1
5.955	2
5.965	2
5.975	1
5.985	0
5.995	1
6.005	3
6.015	0
6.025	2
6.035	0
6.045	1
6.055	0
6.065	0
6.075	0
6.085	0
6.095	0
6.105	0
6.115	2
6.125	2
6.135	0
6.145	0
6.155	0
6.165	1
6.175	2
6.185	3
6.195	0
6.205	0
6.215	1
6.225	2
6.235	1
6.245	1
6.255	1
6.265	2
6.275	2
6.285	1
6.295	0
6.305	0
6.315	0
6.325	2
6.335	1
6.345	1
6.355	0
6.365	1
6.375	0
6.385	0
6.395	3
6.405	0
6.415	1
6.425	0
6.435	0
6.445	0
6.455	2
6.465	1
6.475	1
6.485	2
6.495	0
6.505	0
6.515	0
6.525	0
6.535	1
6.545	1
6.555	0
6.565	1
6.575	2
6.585	0
6.595	2
6.605	0
6.615	0
6.625	1
6.635	1
6.645	1
6.655	0
6.665	1
6.675	1
6.685	0
6.695	0
6.705	1
6.715	2
6.725	0
6.735	0
6.745	1
6.755	1
6.765	1
6.775	1
6.785	1
6.795	0
6.805	0
6.815	1
6.825	0
6.835	1
6.845	0
6.855	1
6.865	1
6.875	0
6.885	0
6.895	1
6.905	1
6.915	1
6.925	0
6.935	1
6.945	0
6.955	1
6.965	0
6.975	0
6.985	0
6.995	2
7.005	0
7.015	1
7.025	2
7.035	0
7.045	0
7.055	0
7.065	1
7.075	1
7.085	0
7.095	1
7.105	0
7.115	0
7.125	0
7.135	0
7.145	0
7.155	0
7.165	0
7.175	0
7.185	0
7.195	0
7.205	1
7.215	1
7.225	0
7.235	0
7.245	0
7.255	0
7.265	0
7.275	1
7.285	0
7.295	0
7.305	1
7.315	0
7.325	0
7.335	0
7.345	0
7.355	0
7.365	1
7.375	0
7.385	0
7.395	0
7.405	0
7.415	0
7.425	0
7.435	0
7.445	1
7.455	3
7.465	1
7.475	0
7.485	0
7.495	1
7.505	0
7.515	0
7.525	1
7.535	1
7.545	0
7.555	0
7.565	0
7.575	1
7.585	1
7.595	3
7.605	2
7.615	1
7.625	0
7.635	0
7.645	0
7.655	1
7.665	0
7.675	1
7.685	0
7.695	0
7.705	1
7.715	2
7.725	0
7.735	1
7.745	0
7.755	1
7.765	0
7.775	0
7.785	1
7.795	0
7.805	0
7.815	1
7.825	1
7.835	0
7.845	0
7.855	0
7.865	0
7.875	0
7.885	0
7.895	2
7.905	0
7.915	0
7.925	0
7.935	0
7.945	2
7.955	2
7.965	1
7.975	1
7.985	0
7.995	0
8.005	0
8.015	1
8.025	0
8.035	0
8.045	0
8.055	0
8.065	1
8.075	0
8.085	0
8.095	1
8.105	0
8.115	0
8.125	0
8.135	0
8.145	0
8.155	0
8.165	0
8.175	1
8.185	1
8.195	0
8.205	0
8.215	0
8.225	0
8.235	0
8.245	1
8.255	1
8.265	1
8.275	0
8.285	0
8.295	0
8.305	1
8.315	0
8.325	0
8.335	0
8.345	0
8.355	0
8.365	0
8.375	0
8.385	0
8.395	0
8.405	0
8.415	0
8.425	0
8.435	0
8.445	1
8.455	0
8.465	0
8.475	0
8.485	0
8.495	0
8.505	1
8.515	0
8.525	0
8.535	2
8.545	0
8.555	0
8.565	0
8.575	0
8.585	0
8.595	1
8.605	0
8.615	0
8.625	0
8.635	0
8.645	0
8.655	0
8.665	0
8.675	0
8.685	0
8.695	1
8.705	1
8.715	0
8.725	0
8.735	0
8.745	1
8.755	0
8.765	2
8.775	0
8.785	1
8.795	0
8.805	1
8.815	0
8.825	0
8.835	1
8.845	1
8.855	0
8.865	0
8.875	0
8.885	1
8.895	1
8.905	1
8.915	1
8.925	0
8.935	0
8.945	1
8.955	0
8.965	0
8.975	0
8.985	2
8.995	0
9.005	0
9.015	0
9.025	0
9.035	0
9.045	0
9.055	0
9.065	1
9.075	0
9.085	0
9.095	1
9.105	0
9.115	1
9.125	0
9.135	0
9.145	2
9.155	0
9.165	0
9.175	1
9.185	0
9.195	1
9.205	0
9.215	0
9.225	0
9.235	0
9.245	0
9.255	0
9.265	0
9.275	0
9.285	0
9.295	0
9.305	0
9.315	0
9.325	0
9.335	1
9.345	0
9.355	0
9.365	0
9.375	0
9.385	1
9.395	0
9.405	0
9.415	0
9.425	2
9.435	0
9.445	0
9.455	0
9.465	0
9.475	1
9.485	1
9.495	0
9.505	0
9.515	0
9.525	0
9.535	0
9.545	0
9.555	1
9.565	0
9.575	0
9.585	0
9.595	2
9.605	0
9.615	1
9.625	0
9.635	0
9.645	0
9.655	1
9.665	0
9.675	0
9.685	0
9.695	1
9.705	0
9.715	0
9.725	0
9.735	0
9.745	0
9.755	0
9.765	0
9.775	0
9.785	0
9.795	0
9.805	0
9.815	1
9.825	1
9.835	0
9.845	1
9.855	0
9.865	1
9.875	0
9.885	0
9.895	0
9.905	0
9.915	0
9.925	0
9.935	0
9.945	0
9.955	1
9.965	0
9.975	0
9.985	1
9.995	0
