	time	error
676	0.5	5e-10
677	0.5	5e-10
678	0.5	5e-10
679	0.5	5e-10
680	0.5	5e-10
681	0.5	5e-10
682	0.5	5e-10
683	0.5	5e-10
684	0.5	5e-10
685	0.5	5e-10
686	0.5	5e-10
687	0.5	5e-10
688	0.5	5e-10
689	0.5	5e-10
690	0.5	5e-10
691	0.5	5e-10
692	0.5	5e-10
693	0.5	5e-10
694	0.5	5e-10
695	0.5	5e-10
696	0.5	5e-10
697	0.5	5e-10
698	0.5	5e-10
699	0.5	5e-10
700	0.5	5e-10
701	0.5	5e-10
702	0.5	5e-10
703	0.5	5e-10
704	0.5	5e-10
705	0.5	5e-10
706	0.5	5e-10
707	0.5	5e-10
708	0.5	5e-10
709	0.5	5e-10
710	0.5	5e-10
711	0.5	5e-10
712	0.5	5e-10
713	0.5	5e-10
714	0.5	5e-10
715	0.5	5e-10
716	0.5	5e-10
717	0.5	5e-10
718	0.5	5e-10
719	0.5	5e-10
720	0.5	5e-10
721	0.5	5e-10
722	0.5	5e-10
723	0.5	5e-10
724	0.5	5e-10
725	0.5	5e-10
726	0.5	5e-10
727	0.5	5e-10
728	0.5	5e-10
729	0.5	5e-10
730	0.5	5e-10
731	0.5	5e-10
732	0.5	5e-10
733	0.5	5e-10
734	0.5	5e-10
735	0.5	5e-10
736	0.5	5e-10
737	0.5	5e-10
738	0.5	5e-10
739	0.5	5e-10
740	0.5	5e-10
741	0.5	5e-10
742	0.5	5e-10
743	0.5	5e-10
744	0.5	5e-10
745	0.5	5e-10
746	0.5	5e-10
747	0.5	5e-10
748	0.5	5e-10
749	0.5	5e-10
750	0.5	5e-10
751	0.5	5e-10
752	0.5	5e-10
753	0.5	5e-10
754	0.5	5e-10
755	0.5	5e-10
756	0.5	5e-10
757	0.5	5e-10
758	0.5	5e-10
759	0.5	5e-10
760	0.5	5e-10
761	0.5	5e-10
762	0.5	5e-10
763	0.5	5e-10
764	0.5	5e-10
765	0.5	5e-10
