Time [us] - histogram	Counts - histogram
3.885	1
3.895	3
3.905	0
3.915	2
3.925	0
3.935	1
3.945	1
3.955	4
3.965	2
3.975	1
3.985	2
3.995	2
4.005	2
4.015	1
4.025	0
4.035	3
4.045	2
4.055	4
4.065	2
4.075	2
4.085	1
4.095	6
4.105	0
4.115	0
4.125	3
4.135	0
4.145	2
4.155	1
4.165	0
4.175	2
4.185	0
4.195	1
4.205	0
4.215	1
4.225	3
4.235	3
4.245	1
4.255	2
4.265	1
4.275	1
4.285	2
4.295	1
4.305	0
4.315	2
4.325	1
4.335	2
4.345	1
4.355	2
4.365	1
4.375	0
4.385	2
4.395	0
4.405	2
4.415	0
4.425	0
4.435	0
4.445	1
4.455	1
4.465	2
4.475	3
4.485	1
4.495	2
4.505	1
4.515	0
4.525	2
4.535	2
4.545	2
4.555	2
4.565	0
4.575	1
4.585	0
4.595	2
4.605	1
4.615	0
4.625	3
4.635	2
4.645	1
4.655	1
4.665	0
4.675	1
4.685	2
4.695	3
4.705	1
4.715	0
4.725	2
4.735	1
4.745	2
4.755	0
4.765	4
4.775	1
4.785	1
4.795	1
4.805	0
4.815	0
4.825	1
4.835	0
4.845	0
4.855	0
4.865	1
4.875	1
4.885	2
4.895	0
4.905	2
4.915	0
4.925	5
4.935	0
4.945	3
4.955	1
4.965	3
4.975	1
4.985	0
4.995	2
5.005	2
5.015	0
5.025	0
5.035	1
5.045	0
5.055	2
5.065	0
5.075	0
5.085	1
5.095	0
5.105	1
5.115	2
5.125	1
5.135	0
5.145	1
5.155	1
5.165	2
5.175	1
5.185	0
5.195	0
5.205	2
5.215	1
5.225	1
5.235	0
5.245	1
5.255	0
5.265	0
5.275	0
5.285	1
5.295	0
5.305	0
5.315	1
5.325	0
5.335	0
5.345	1
5.355	0
5.365	3
5.375	0
5.385	2
5.395	2
5.405	2
5.415	2
5.425	0
5.435	0
5.445	1
5.455	0
5.465	1
5.475	1
5.485	1
5.495	0
5.505	2
5.515	1
5.525	1
5.535	1
5.545	1
5.555	1
5.565	0
5.575	3
5.585	2
5.595	0
5.605	0
5.615	0
5.625	1
5.635	0
5.645	0
5.655	1
5.665	1
5.675	0
5.685	1
5.695	2
5.705	0
5.715	0
5.725	3
5.735	0
5.745	0
5.755	1
5.765	0
5.775	1
5.785	1
5.795	1
5.805	0
5.815	2
5.825	1
5.835	0
5.845	0
5.855	0
5.865	0
5.875	0
5.885	0
5.895	0
5.905	0
5.915	0
5.925	0
5.935	1
5.945	0
5.955	1
5.965	2
5.975	0
5.985	1
5.995	1
6.005	0
6.015	0
6.025	1
6.035	0
6.045	2
6.055	0
6.065	0
6.075	0
6.085	1
6.095	0
6.105	0
6.115	0
6.125	3
6.135	0
6.145	0
6.155	0
6.165	0
6.175	0
6.185	0
6.195	0
6.205	0
6.215	1
6.225	0
6.235	3
6.245	0
6.255	2
6.265	0
6.275	1
6.285	1
6.295	0
6.305	0
6.315	0
6.325	1
6.335	0
6.345	0
6.355	0
6.365	0
6.375	0
6.385	0
6.395	1
6.405	0
6.415	1
6.425	0
6.435	1
6.445	0
6.455	0
6.465	0
6.475	0
6.485	2
6.495	0
6.505	0
6.515	0
6.525	0
6.535	1
6.545	1
6.555	0
6.565	1
6.575	1
6.585	0
6.595	1
6.605	2
6.615	0
6.625	0
6.635	0
6.645	1
6.655	0
6.665	0
6.675	0
6.685	0
6.695	2
6.705	2
6.715	0
6.725	1
6.735	0
6.745	1
6.755	0
6.765	0
6.775	1
6.785	1
6.795	0
6.805	0
6.815	1
6.825	2
6.835	0
6.845	0
6.855	0
6.865	0
6.875	0
6.885	0
6.895	1
6.905	0
6.915	0
6.925	1
6.935	0
6.945	0
6.955	0
6.965	1
6.975	1
6.985	1
6.995	0
7.005	1
7.015	1
7.025	1
7.035	0
7.045	0
7.055	0
7.065	0
7.075	1
7.085	0
7.095	0
7.105	0
7.115	1
7.125	1
7.135	0
7.145	1
7.155	1
7.165	0
7.175	0
7.185	1
7.195	1
7.205	0
7.215	0
7.225	1
7.235	1
7.245	0
7.255	0
7.265	0
7.275	0
7.285	0
7.295	0
7.305	0
7.315	1
7.325	0
7.335	0
7.345	3
7.355	1
7.365	0
7.375	0
7.385	0
7.395	0
7.405	0
7.415	0
7.425	0
7.435	0
7.445	0
7.455	0
7.465	0
7.475	0
7.485	2
7.495	1
7.505	1
7.515	1
7.525	1
7.535	1
7.545	0
7.555	0
7.565	1
7.575	0
7.585	0
7.595	0
7.605	0
7.615	0
7.625	0
7.635	2
7.645	0
7.655	0
7.665	1
7.675	1
7.685	1
7.695	0
7.705	0
7.715	0
7.725	0
7.735	0
7.745	0
7.755	0
7.765	1
7.775	0
7.785	0
7.795	0
7.805	0
7.815	0
7.825	0
7.835	0
7.845	0
7.855	0
7.865	0
7.875	0
7.885	0
7.895	0
7.905	0
7.915	0
7.925	1
7.935	0
7.945	1
7.955	0
7.965	1
7.975	0
7.985	1
7.995	0
8.005	0
8.015	0
8.025	0
8.035	0
8.045	0
8.055	1
8.065	0
8.075	0
8.085	0
8.095	1
8.105	0
8.115	0
8.125	0
8.135	0
8.145	0
8.155	0
8.165	0
8.175	0
8.185	0
8.195	0
8.205	1
8.215	0
8.225	0
8.235	1
8.245	0
8.255	1
8.265	1
8.275	0
8.285	0
8.295	1
8.305	0
8.315	0
8.325	0
8.335	0
8.345	0
8.355	0
8.365	1
8.375	1
8.385	1
8.395	0
8.405	0
8.415	0
8.425	0
8.435	0
8.445	0
8.455	0
8.465	0
8.475	1
8.485	0
8.495	0
8.505	0
8.515	0
8.525	0
8.535	1
8.545	0
8.555	1
8.565	0
8.575	0
8.585	0
8.595	0
8.605	1
8.615	0
8.625	0
8.635	1
8.645	1
8.655	0
8.665	0
8.675	1
8.685	0
8.695	0
8.705	0
8.715	0
8.725	0
8.735	0
8.745	0
8.755	1
8.765	1
8.775	0
8.785	0
8.795	0
8.805	0
8.815	0
8.825	1
8.835	0
8.845	0
8.855	0
8.865	0
8.875	0
8.885	0
8.895	0
8.905	0
8.915	0
8.925	1
8.935	1
8.945	0
8.955	0
8.965	0
8.975	0
8.985	0
8.995	0
9.005	0
9.015	0
9.025	0
9.035	0
9.045	0
9.055	0
9.065	0
9.075	0
9.085	0
9.095	0
9.105	0
9.115	0
9.125	0
9.135	0
9.145	0
9.155	0
9.165	0
9.175	0
9.185	0
9.195	0
9.205	0
9.215	0
9.225	0
9.235	0
9.245	0
9.255	0
9.265	0
9.275	0
9.285	0
9.295	0
9.305	0
9.315	0
9.325	0
9.335	0
9.345	1
9.355	0
9.365	0
9.375	0
9.385	0
9.395	0
9.405	0
9.415	0
9.425	1
9.435	0
9.445	0
9.455	0
9.465	0
9.475	0
9.485	0
9.495	0
9.505	0
9.515	1
9.525	0
9.535	0
9.545	0
9.555	0
9.565	0
9.575	0
9.585	0
9.595	0
9.605	0
9.615	0
9.625	0
9.635	0
9.645	0
9.655	0
9.665	0
9.675	0
9.685	0
9.695	0
9.705	0
9.715	0
9.725	0
9.735	0
9.745	0
9.755	0
9.765	0
9.775	0
9.785	0
9.795	0
9.805	0
9.815	0
9.825	0
9.835	0
9.845	0
9.855	0
9.865	0
9.875	0
9.885	0
9.895	0
9.905	0
9.915	0
9.925	0
9.935	1
9.945	0
9.955	0
9.965	0
9.975	0
9.985	0
9.995	1
10.005	0
10.015	0
10.025	0
10.035	1
10.045	0
10.055	0
10.065	0
10.075	0
10.085	0
10.095	0
