	time	error
310	0.045	1e-08
311	0.045	1e-08
312	0.045	1e-08
313	0.045	1e-08
314	0.045	1e-08
315	0.045	1e-08
316	0.045	1e-08
317	0.045	1e-08
318	0.045	1e-08
319	0.045	1e-08
320	0.045	1e-08
321	0.045	1e-08
322	0.045	1e-08
323	0.045	1e-08
324	0.045	1e-08
325	0.045	1e-08
326	0.045	1e-08
327	0.045	1e-08
328	0.045	1e-08
329	0.045	1e-08
330	0.045	1e-08
331	0.045	1e-08
332	0.045	1e-08
333	0.045	1e-08
334	0.045	1e-08
335	0.045	1e-08
336	0.045	1e-08
337	0.045	1e-08
338	0.045	1e-08
339	0.045	1e-08
340	0.045	1e-08
341	0.045	1e-08
342	0.045	1e-08
343	0.045	1e-08
344	0.045	1e-08
345	0.045	1e-08
346	0.045	1e-08
347	0.045	1e-08
348	0.045	1e-08
349	0.045	1e-08
350	0.045	1e-08
351	0.045	1e-08
352	0.045	1e-08
353	0.045	1e-08
354	0.045	1e-08
355	0.045	1e-08
356	0.045	1e-08
357	0.045	1e-08
358	0.045	1e-08
359	0.045	1e-08
360	0.045	1e-08
361	0.035	1e-08
362	0.035	1e-08
363	0.035	1e-08
364	0.035	1e-08
365	0.035	1e-08
366	0.035	1e-08
367	0.035	1e-08
368	0.035	1e-08
369	0.035	1e-08
370	0.035	1e-08
371	0.035	1e-08
372	0.035	1e-08
373	0.035	1e-08
374	0.035	1e-08
375	0.035	1e-08
376	0.035	1e-08
377	0.035	1e-08
378	0.035	1e-08
379	0.035	1e-08
380	0.035	1e-08
381	0.035	1e-08
382	0.035	1e-08
383	0.035	1e-08
384	0.035	1e-08
385	0.035	1e-08
386	0.035	1e-08
387	0.035	1e-08
388	0.035	1e-08
389	0.035	1e-08
390	0.035	1e-08
391	0.035	1e-08
392	0.035	1e-08
393	0.035	1e-08
394	0.035	1e-08
395	0.035	1e-08
396	0.035	1e-08
397	0.035	1e-08
398	0.035	1e-08
399	0.035	1e-08
400	0.035	1e-08
401	0.035	1e-08
402	0.035	1e-08
403	0.035	1e-08
404	0.035	1e-08
405	0.035	1e-08
406	0.035	1e-08
407	0.035	1e-08
408	0.035	1e-08
409	0.035	1e-08
410	0.035	1e-08
411	0.035	1e-08
412	0.035	1e-08
413	0.035	1e-08
414	0.035	1e-08
415	0.035	1e-08
416	0.035	1e-08
417	0.035	1e-08
418	0.035	1e-08
419	0.035	1e-08
420	0.035	1e-08
421	0.035	1e-08
422	0.035	1e-08
423	0.035	1e-08
424	0.035	1e-08
425	0.035	1e-08
426	0.035	1e-08
427	0.035	1e-08
428	0.035	1e-08
429	0.035	1e-08
430	0.035	1e-08
431	0.035	1e-08
432	0.035	1e-08
433	0.035	1e-08
434	0.035	1e-08
435	0.035	1e-08
436	0.035	1e-08
437	0.035	1e-08
438	0.035	1e-08
439	0.035	1e-08
440	0.035	1e-08
441	0.035	1e-08
442	0.035	1e-08
443	0.035	1e-08
444	0.035	1e-08
445	0.035	1e-08
446	0.035	1e-08
447	0.035	1e-08
448	0.035	1e-08
449	0.035	1e-08
450	0.035	1e-08
451	0.035	1e-08
452	0.035	1e-08
453	0.035	1e-08
454	0.035	1e-08
455	0.035	1e-08
456	0.035	1e-08
457	0.035	1e-08
458	0.035	1e-08
459	0.035	1e-08
460	0.035	1e-08
461	0.035	1e-08
462	0.035	1e-08
463	0.035	1e-08
464	0.035	1e-08
465	0.035	1e-08
466	0.035	1e-08
467	0.035	1e-08
468	0.035	1e-08
469	0.035	1e-08
470	0.035	1e-08
471	0.035	1e-08
472	0.035	1e-08
473	0.035	1e-08
474	0.035	1e-08
475	0.035	1e-08
476	0.035	1e-08
477	0.035	1e-08
478	0.035	1e-08
479	0.035	1e-08
480	0.035	1e-08
481	0.035	1e-08
482	0.035	1e-08
483	0.035	1e-08
484	0.035	1e-08
485	0.035	1e-08
486	0.035	1e-08
487	0.035	1e-08
488	0.035	1e-08
489	0.035	1e-08
490	0.035	1e-08
491	0.035	1e-08
492	0.035	1e-08
493	0.035	1e-08
494	0.035	1e-08
495	0.035	1e-08
496	0.035	1e-08
497	0.035	1e-08
498	0.035	1e-08
499	0.035	1e-08
500	0.035	1e-08
501	0.035	1e-08
502	0.035	1e-08
503	0.035	1e-08
504	0.035	1e-08
505	0.035	1e-08
506	0.035	1e-08
507	0.035	1e-08
508	0.025	1e-08
509	0.025	1e-08
510	0.025	1e-08
511	0.025	1e-08
512	0.025	1e-08
513	0.025	1e-08
514	0.025	1e-08
515	0.025	1e-08
516	0.025	1e-08
517	0.025	1e-08
518	0.025	1e-08
519	0.025	1e-08
520	0.025	1e-08
521	0.025	1e-08
522	0.025	1e-08
523	0.025	1e-08
524	0.025	1e-08
525	0.025	1e-08
526	0.025	1e-08
527	0.025	1e-08
528	0.025	1e-08
529	0.025	1e-08
530	0.025	1e-08
531	0.025	1e-08
532	0.025	1e-08
533	0.025	1e-08
534	0.025	1e-08
535	0.025	1e-08
536	0.025	1e-08
537	0.025	1e-08
538	0.025	1e-08
539	0.025	1e-08
540	0.025	1e-08
541	0.025	1e-08
542	0.025	1e-08
543	0.025	1e-08
544	0.025	1e-08
545	0.025	1e-08
546	0.025	1e-08
547	0.025	1e-08
548	0.025	1e-08
549	0.025	1e-08
550	0.025	1e-08
551	0.025	1e-08
552	0.025	1e-08
553	0.025	1e-08
554	0.025	1e-08
555	0.025	1e-08
556	0.025	1e-08
557	0.025	1e-08
558	0.025	1e-08
559	0.025	1e-08
560	0.025	1e-08
561	0.025	1e-08
562	0.025	1e-08
563	0.025	1e-08
564	0.025	1e-08
565	0.025	1e-08
566	0.025	1e-08
567	0.025	1e-08
568	0.025	1e-08
569	0.025	1e-08
570	0.025	1e-08
571	0.025	1e-08
572	0.025	1e-08
573	0.025	1e-08
574	0.025	1e-08
575	0.025	1e-08
576	0.025	1e-08
577	0.025	1e-08
578	0.025	1e-08
579	0.025	1e-08
580	0.025	1e-08
581	0.025	1e-08
582	0.025	1e-08
583	0.025	1e-08
584	0.025	1e-08
585	0.025	1e-08
586	0.025	1e-08
587	0.025	1e-08
588	0.025	1e-08
589	0.025	1e-08
590	0.025	1e-08
591	0.025	1e-08
592	0.025	1e-08
593	0.025	1e-08
594	0.025	1e-08
595	0.025	1e-08
596	0.025	1e-08
597	0.025	1e-08
598	0.025	1e-08
599	0.025	1e-08
600	0.025	1e-08
601	0.025	1e-08
602	0.025	1e-08
603	0.025	1e-08
604	0.025	1e-08
605	0.025	1e-08
606	0.025	1e-08
607	0.025	1e-08
608	0.025	1e-08
609	0.025	1e-08
610	0.025	1e-08
611	0.025	1e-08
612	0.025	1e-08
613	0.025	1e-08
614	0.025	1e-08
615	0.025	1e-08
616	0.025	1e-08
617	0.025	1e-08
618	0.025	1e-08
619	0.025	1e-08
620	0.025	1e-08
621	0.025	1e-08
622	0.025	1e-08
623	0.025	1e-08
624	0.025	1e-08
625	0.025	1e-08
626	0.025	1e-08
627	0.025	1e-08
628	0.025	1e-08
629	0.025	1e-08
630	0.025	1e-08
631	0.025	1e-08
632	0.025	1e-08
633	0.025	1e-08
634	0.025	1e-08
635	0.025	1e-08
636	0.025	1e-08
637	0.025	1e-08
638	0.025	1e-08
639	0.025	1e-08
640	0.025	1e-08
641	0.025	1e-08
642	0.025	1e-08
643	0.025	1e-08
644	0.025	1e-08
645	0.025	1e-08
646	0.025	1e-08
647	0.025	1e-08
648	0.025	1e-08
649	0.025	1e-08
650	0.025	1e-08
651	0.025	1e-08
652	0.025	1e-08
653	0.025	1e-08
654	0.025	1e-08
655	0.025	1e-08
656	0.025	1e-08
657	0.025	1e-08
658	0.025	1e-08
659	0.025	1e-08
660	0.025	1e-08
661	0.025	1e-08
662	0.025	1e-08
663	0.025	1e-08
664	0.025	1e-08
665	0.025	1e-08
666	0.025	1e-08
667	0.025	1e-08
668	0.025	1e-08
669	0.025	1e-08
670	0.025	1e-08
671	0.025	1e-08
672	0.025	1e-08
673	0.025	1e-08
674	0.025	1e-08
675	0.015	1e-08
676	0.015	1e-08
677	0.015	1e-08
678	0.015	1e-08
679	0.015	1e-08
680	0.015	1e-08
681	0.015	1e-08
682	0.015	1e-08
683	0.015	1e-08
684	0.015	1e-08
685	0.015	1e-08
686	0.015	1e-08
687	0.015	1e-08
688	0.015	1e-08
689	0.015	1e-08
690	0.015	1e-08
691	0.015	1e-08
692	0.015	1e-08
693	0.015	1e-08
694	0.015	1e-08
695	0.015	1e-08
696	0.015	1e-08
697	0.015	1e-08
698	0.015	1e-08
699	0.015	1e-08
700	0.015	1e-08
701	0.015	1e-08
702	0.015	1e-08
703	0.015	1e-08
704	0.015	1e-08
705	0.015	1e-08
706	0.015	1e-08
707	0.015	1e-08
708	0.015	1e-08
709	0.015	1e-08
710	0.015	1e-08
